Project Name,Carpet Area,Built-up Area,Saleable Area,Balcony Area,Terrace Area,Carpet Area.value,Carpet Area.units,Built-up Area.value,Built-up Area.units,Carpet Area Units,Balcony Area Units,Carpet Area units,Balcony Area units,Balcony Area.Open Balcony,Balcony Area.Enclosed Balcony,Balcony Area (dry),Units,Terrace Area.value,Terrace Area.units,Balcony Area.value,Balcony Area.units,Balcony Utility Area,Total Carpet Area,Built-up Area Units,Terrace Area Units,Built-up Area units,Built-up Area equivalent,Built-up Area equivalent units,Carpet Area Equivalent,Carpet Area Equivalent Units,Carpet Area (in sq meters),Terrace Area units,Terrace Area (in sq meters),Saleable Area.value,Saleable Area.units,Balcony Area Equivalent,Balcony Area Equivalent Units,Terrace Area Equivalent,Terrace Area Equivalent Units,Open Balcony Area,Open Balcony Area Units,Carpet Area (Alternate),Carpet Area Units (Alternate),Balcony Area (Alternate),Balcony Area Units (Alternate),Terrace Area (Alternate),Terrace Area Units (Alternate),Carpet Area.unit,Carpet Area.alternativeUnit,Balcony Area.unit,Balcony Area.alternativeUnit,Corridor Area,Open Balcony Area.value,Open Balcony Area.units,Balcony Area (in sq meters),Terrace Area (in sq meters,Built-up Area (in sq meters),Open Balcony Area units,Open Balcony Area (in sq meters),Utility/Dry Balcony Area,Carpet Area (Alternate Units),Carpet Area Alternate Units,Balcony Area (Alternate Units),Balcony Area Alternate Units,Carpet Area (alternative).value,Carpet Area (alternative).units,Balcony Area (dry) units,Balcony Area.Closed Balcony,Terrace Area.East-West,Terrace Area.North-South,Terrace Area.Total Area,Terrace Area.Units
Disha Hillmist,,48.33 square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aalandi,,900 square meters,54.47 square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vrnda,25.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vrinda,54.49,,,8.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alandi,40.22,,,5.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aalndi Cooperative Housing Society Limited,,557 square feet (51.76 square meters),,,40 square feet (3.72 square meters),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aalndi,557,557,,40,40,,,,,square feet,square feet,,,,,,,,,,,,,square feet,square feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visheswar Nagar B Wing,34.13,,,,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visheswar Nagar B Wing,34.13,,,,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aalndi,,582 square feet,,,7.43 square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shri Prasad Apartment,30.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shri Prasad Apartment,35.41,,,,,,,,,,,sq. meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aalndi,,,,100.76 sq feet (9.36 sq meters),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aalndi,203.56,,,80.08,,,,,,,,sq feet,sq feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alandi,347.76,,,,60.96,,,,,,,,,,,,sq feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aalndi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aalndi,2100,,,36.41,,,,,,,,square feet,square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aalndi,358.44,,,33.31,,,,,,,,square feet,square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High-Tech residential scheme,43.17,464.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mooli Vihar Co-op Housing Society Ltd.,58.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alandi,36.96,,,,,,,,,,,square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,43.15,square meters,4.8,square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nivar Enclave,39.86,3000,,9.95,7.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5.79,square meters,,,,,,,,,,,1.33,square meters,4.45,square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALAN 00003964,4.53,62.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aalndi,,,,,,16.55,square meters,,,,,,,,,,,,,9.36,square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aalndi,,,,,,174.68,square feet,,,,,,,,,,,,,99.69,square feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jnanaai Residency,28,,,2,,,,,,,,square meters,square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concept Heritage Project,41.61,,,2.91,,,,,,,,sqm,sqm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aalndi,1008.0,116.04,,,,,,,,square feet,,,,,,,,,,,,,,square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aalndi,,Not specified,Not specified,Not specified,Not specified,35.76,square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pimpri-Chinchwad M.N.P.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sky Vega Vrindavan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,29.50 AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Dreams Carnival,55.98,,,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,47.3,6.31,,,6.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,47.3,6.31,,,6.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
